TIME,CH,ADC
364113488,11,12975
364113595,34,601
364114906,11,12923
364115013,34,608
364116323,11,12954
364116429,34,619
364117745,11,12974
364117852,34,633
364119162,11,12980
364119269,34,638
364120579,11,12961
364120685,34,633
364121996,11,12958
364122102,34,628
364123411,11,12975
364123524,34,622
364124835,11,12947
364124942,34,600
364126251,11,12916
364126358,34,602
364127668,11,12772
364127775,34,597
364129085,11,12937
364129191,34,597
364130501,11,12968
364130608,34,603
364131919,11,12977
364132026,34,614
364133336,11,12969
364133443,34,613
364134754,11,12726
364134861,34,623
364136170,11,13025
364136276,34,634
364137586,11,12986
364137693,34,617
364139004,11,12945
364139110,34,624
364140420,11,12982
364140532,34,614
364141843,11,12956
364141949,34,611
364143259,11,13079
364143366,34,600
364144675,11,12968
364144782,34,602
364146092,11,12964
364146198,34,607
364147514,11,12954
364147621,34,645
364148932,11,12964
364149039,34,605
364150349,11,12977
364150455,34,655
364151765,11,12932
364151872,34,623
364153182,11,12973
364153288,34,626
364154598,11,12979
364154704,34,628
364156015,11,12986
364156121,34,621
364157430,11,12953
364157543,34,607
364158853,11,12974
364158960,34,604
364160271,11,12969
364160377,34,600
364161688,11,12972
364161795,34,597
364163104,11,12978
364163211,34,607
364164526,11,12970
364164633,34,616
364165944,11,12956
364166050,34,618
364167361,11,12970
364167467,34,607
364168777,11,12963
364168884,34,633
364170193,11,12982
364170300,34,648
364171610,11,12965
364171717,34,619
364173028,11,13050
364173134,34,609
364174444,11,13265
364174551,34,605
364175861,11,12969
364175967,34,582
364177277,11,13000
364177384,34,587
364178700,11,12971
364178806,34,597
364180116,11,13079
364180222,34,603
364181539,11,12960
364181646,34,617
364182956,11,12990
364183062,34,626
364184372,11,12927
364184479,34,630
364185789,11,12983
364185895,34,655
364187206,11,12971
364187313,34,633
364188624,11,12962
364188731,34,626
364190040,11,12976
364190147,34,617
364191457,11,12958
364191564,34,605
364192873,11,12968
364192980,34,603
364194290,11,12992
364194397,34,598
364195713,11,12949
364195820,34,604
364197129,11,12960
364197235,34,611
364198551,11,12960
364198658,34,620
364199968,11,12964
364200075,34,625
364201385,11,12984
364201491,34,632
364202802,11,12951
364202909,34,630
364204219,11,12962
364204325,34,632
364205636,11,12954
364205743,34,611
364207053,11,12968
364207160,34,615
364208468,11,13170
364208575,34,624
364209886,11,12968
